cluster_id,kind,canonical_name,k,n_resolved,n_control_types,n_control_types_semantic,frac_degenerate,consistency_score,median_I2,pi_frac_excl0,dd_verdict,contrast_verdict,meta_analysis_valid,dd_reason
group_L4_02a1fb3f,small_molecule,bleomycin A<small><sub>2</sub></small>,6,10,1,1,0,0.17587796819601964,82.41220318039804,0.436439905161408,one_contrast,coherent,FALSE,"Tutti i controlli sono baseline 'no bleomycin' (control/Control/Vehicle Control/Control without transgene) e il trattato include sempre 'Bleomycin' anche nelle combo (Alpha-Lipoic Acid, Curcumin, NAD+, NMN, PCC1); un solo asse sperimentale bleomicina-vs-controllo, testato in sfondi genetici diversi (with/without transgene)."
group_L4_0438515a,genetic_knockdown,hepatocellular carcinoma,35,33,14,5,0,0.9999222504938806,0.00777495061193708,0.5510752688172043,multi_contrast,minestrone,FALSE,"Canonical name is a disease category; contrasts pool unrelated knockdowns (ARID2, FTO, INO80, CDK4/6, hnRNPU, FASRL, FENDRR, MPI, BRG1/BRM, MLX, PHF5A, PRMT5), a ctnnb1-genotype disease stratification ('HBV, ctnnb1_status_mut' vs 'ctnnb1_status_wt'), an antibody-drug contrast ('anti-Gremlin-1 Ab' vs 'Isotype control Ab'), cytokine stimulation (TGFbeta, TNFalpha), and a donor-vs-donor comparison ('siNT Donor A' vs 'siNT Donor C')."
group_L4_05753d11,small_molecule,ibuprofen,41,57,6,10,0,0.9999998695260152,1.304739848587662e-5,0.5569620253164557,multi_contrast,minestrone,FALSE,"Il cluster mescola artrite reumatoide con metotrexato, anti-TNF pre/post, K562+YM115/Imatinib (leucemia), bedaquilina (TB), teplizumab AbATE (diabete T1), fibrosi cistica con Orkambi, e leucemia linfatica cronica per stadio Binet: solo poche righe 'Ibuprofen Sodium...' sono realmente ibuprofene, il resto sono malattie e farmaci completamente scorrelati."
group_L4_059b2e2f,genetic_knockdown,DHX9,4,6,4,1,0,0.8063522020809726,19.36477979190275,0.4245614035087719,multi_contrast,minestrone,FALSE,"5/6 contrasts are unspecified 'SiRNA knockdown' in neuroblastoma cell line/tissue vs 'Scramble control', but 'SY5Y + siSETD8' targets the unrelated gene SETD8 vs 'SY5Y + siCTR' - a different target mixed in."
group_L4_073a3d38,genetic_overexpression,KRAS,4,13,4,4,0,0.9866559689228174,1.3344031077182643,0.5424121935056329,multi_contrast,minestrone,FALSE,"controlli eterogenei tra sistemi distinti: 'Control (Vehicle Only)' usato per contrasti '(Disease Model)' (8/13 contrasti, incluso 'KRAS WT (Disease Model) => Control (Vehicle Only)') contro 'H1299_KRASWT', 'BEAS-2B + empty vector' e 'KRAS WT (control)' propri di linee cellulari transfettate separate: sistemi/design diversi non riconducibili a un unico baseline."
group_L4_07e626c9,disease_vs_normal,Friedreich's ataxia,27,22,7,8,0,0.742280217998813,25.77197820011869,0.4089068825910931,multi_contrast,minestrone,FALSE,"Solo 1/22 contrasti e' realmente Friedreich's ataxia ('Friedreich's ataxia fibroblasts => Normal fibroblasts (37 years)'); il resto mescola cheloidi, cicatrici ipertrofiche, psoriasi, melanoma, lupus (SLE) e GVHD ('lichen planus lesion of cGVHD => Healthy Control') sotto lo stesso cluster fibroblasti/pelle."
group_L4_0a2f157f,cytokine_stim,lenvatinib,4,8,2,2,0,0.9999856751608024,0.00143248391974844,0.4712682760965658,multi_contrast,minestrone,FALSE,"Most contrasts are clean lenvatinib vs vehicle/untreated, but 'Lenvatinib => Control (shNC)' uses a scrambled-shRNA vector baseline, a genetic-control axis distinct from the DMSO/untreated pharmacological baselines used elsewhere."
group_L4_0cdb8ff6,genetic_knockout,BATF,8,22,2,7,0,0.9996692797358324,0.03307202641675674,0.5654450261780105,multi_contrast,minestrone,FALSE,"Canonical gene BATF appears in NO contrast; instead pools an HPRT CRISPR gene-therapy correction ('RNP + AAV6_BG_HPRT' vs 'Mock'), a monocyte trisomy disease-model, a 15q13.3 microdeletion case-control, cystic-fibrosis-related knockouts ('C1P08MA_CF_Knockout' vs 'Healthy_Control'), limb-girdle muscular dystrophy patient samples (LGMDD2), a CAR-T tumor-challenge experiment, and a SPOP-KO+BET-inhibitor drug study - completely disconnected from the anchor."
group_L4_0e22aa23,genetic_knockdown,colon cancer,24,23,10,4,0,0.8791174575218363,12.088254247816373,0.39325842696629215,multi_contrast,minestrone,FALSE,"Canonical name is a disease category, not a gene; contrasts pool unrelated knockdowns (LONP1, CDH11, CSE1L, PiHL, TCF7L1, ADNP, FOXA1, CHD4), a heat-shock stress axis ('...+42°C for one hour and recovery...'), a Nutlin (MDM2 inhibitor) drug factorial, a trisomy-21 disease-model contrast, a colitis-fibroblast case-control, and a miRNA-inhibitor contrast - no shared target."
group_L4_0e9fd40c,genetic_overexpression,NA,10,16,4,7,0,0.9999887017094412,0.00112982905589553,0.7125603864734299,multi_contrast,minestrone,FALSE,"controlli e trattati coprono esperimenti scollegati: 'CUGexp => CUGexp-' (espansione ripetuta CUG), 'H460_IACS-010759_transgene_NDI1 => H460_DMSO_transgene_NDI1' (test farmacologico su cellule col transgene costante, non overexpression), 'IMR90 OIS cells => IMR90 proliferating cells (vehicle)' (senescenza) e 'NLS3A-mutant induced => NLS3A-mutant non-induced' (mutante inducibile)."
group_L4_10c49214,small_molecule,puromycin aminonucleoside,10,16,4,6,0,0.9999914531768528,8.546823147247431e-4,0.5861538461538461,multi_contrast,minestrone,FALSE,"Solo 'Puromycin Aminonucleoside-treated Podocytes => Untreated Podocytes' e' realmente PAN; il resto e' ciclosporina A (CsA1-4), FG4592/roxadustat, farmaci T48xx su biopsie renali LN, sunitinib in RCC, tapsigargina+BRD4780, e persino un confronto di stadio tumorale (Wilms Tumor Non-Anaplastic vs Anaplastic) senza alcun farmaco: minestrone di farmaci e assi malattia completamente diversi."
group_L4_12db7a61,cytokine_stim,1-(β-<small>D</small>-galactosyl)-2-(2-hydroxyacyl)sphingosine,8,10,3,3,0,1,0,0.5965346534653465,multi_contrast,minestrone,FALSE,"Treated side mixes three different stimuli against 'untreated'-type controls: TNF-alpha (Dermal Fibroblast/Epidermis/Melanoma), EGF ('EGF stimulated' vs 'Untreated (control)'), and interferon-gamma (Fibroblast/IFNAR1 Patient vs vehicle_only/No Treatment)."
group_L4_13354282,genetic_knockdown,KLF4,24,29,10,5,0,0.9999682875537144,0.00317124462855674,0.6272965879265092,multi_contrast,minestrone,FALSE,"Only the 'anti-KLF4 shRNA' holoclone contrasts target KLF4; the cluster also pools unrelated knockdowns (siSBNO2, siNrf2, Brg1/Brm), aneuploidy disease case-control (Trisomic vs Disomic skin fibroblasts, x2), progeria/Werner-syndrome ASO studies ('HGPS + L1 ASO' vs 'HGPS + scramble ASO', 'WS + L1 ASO' vs 'WS + scramble ASO'), and a TGFb1+Wnt-3a cytokine-treatment factorial - multiple unrelated axes."
group_L4_14810c92,environmental,SARS-CoV-2 vaccine,3,5,3,3,0,1,0,0.4760638297872341,multi_contrast,minestrone,FALSE,"Two 'Activated Tfh Post-vaccine day7 => day0' timecourse contrasts are genuine vaccine-response biology, but 'Day10/Day7 + Diff. Medium => DMSO Day10+' is an unrelated differentiation-vs-DMSO experiment with no vaccine mention, and 'PAGE D3 => Mock D3' introduces yet another undefined perturbation axis."
group_L4_179bb38a,disease_vs_normal,psoriasis,5,9,2,4,0,1,0,0.7162162162162162,multi_contrast,minestrone,FALSE,"3 of 9 contrasts ('Psoriasis (MUC20509/15/16) => Atopic Eczema (MUC20520/25/24)') compare psoriasis to a DIFFERENT disease (atopic eczema) rather than to a healthy control, alongside genuine disease-vs-normal contrasts ('Teff_psoriasis => Teff_healthy', 'Conventional Psoriatic Skin 2 => Healthy Control Skin')."
group_L4_1a309d8f,environmental,ionizing radiation,12,19,5,6,0,0.99987636063235,0.01236393676500207,0.8160919540229885,multi_contrast,minestrone,FALSE,"Nonostante l'anchor 'ionizing radiation', solo una minoranza dei contrasti è radiazione ('BEAS-2B 10th passage, 0.5 Gy => ... Ctrl'); il resto è BPCO vs normale ('COPD Bronchial Epithelium (Donor 1) => Normal Bronchial Epithelium'), estratto di fumo di sigaretta ('CSE-treated HBECs from COPD smokers => Untreated HBECs from COPD smokers'), sigaretta elettronica, prodotto da tabacco riscaldato e fumo da waterpipe vs non-fumatore: assi di esposizione del tutto diversi."
group_L4_1b22e019,small_molecule,Doxycycline,8,17,10,7,0.058823529411764705,0.7439106077724466,25.608939222755343,0.24786324786324787,multi_contrast,minestrone,FALSE,"Molti contrasti confrontano varianti costrutto BRD4 (dCTM/dBD/FL) tutte con dox presente su entrambi i lati (asse genetico, non dox-vs-no-dox), e altri usano spiperone, Akti-1/2, JIB-04, o il knockout MET: solo 'Dox WT => DMSO WT' e 'HCT116 passage 44...doxycycline 0.3 ug/mL => vehicle' sono realmente dox-vs-no-dox; frac_degenerate 17.6% conferma coppie trattato==controllo."
group_L4_1b42ff33,pathogen_or_aggregate_exposure,Lipopolysaccharide,11,36,5,6,0,0.9997583354662068,0.02416645337931331,0.6523672508501177,multi_contrast,minestrone,FALSE,"nessun contrasto riguarda davvero LPS (canonical_name dichiarato) nonostante il nome: il cluster raccoglie 'Whole blood, COVID-19 positive/negative' (10x), 'HRV15 Day1-4 => Control Day0' (rhinovirus), 'Adenovirus, Diarrhea Case => No Pathogen, Control', 'ChAdOx,mRNA-1273 => V3' (vaccino) e 'Herpes Zoster active => Healthy control': patogeni e disegni completamente diversi."
group_L4_1bc4e885,disease_vs_normal,ipf,8,31,2,2,0,0.7755488077779991,22.445119222200095,0.3305921052631579,multi_contrast,minestrone,FALSE,"~18 contrasts (e.g. 'IPF_P1_Sma1C/Sma1P', 'IPF_P9_Sma9C/Sma9P') are labeled multi_arm_treatment and compared against 'IPF_P5_Control', a fellow IPF patient sample not a healthy control - a within-disease comparison distinct from the genuine 'IPF Lung Tissue => Normal Lung Tissue' axis."
