geo	series	samn	donor_id	has_samn	has_donor	samn_is_cross	title	characteristics	molecule	instrument	data_processing	library_source	extract_protocol	scprob	lib_size_a3
GSM2072410	GSE78581	SAMN04284321	encdo062aaa	TRUE	TRUE	TRUE	total RNA-seq from uterus (ENCLB212ZZZ)	tissue_type: uterus,biomaterial_type: tissue,description: Human fetal uterus,biosample encode accession: ENCBS084RNA (SAMN04284321),age: 28 week,donor_id: ENCDO062AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS084RNA at ENCODE; https://www.encodeproject.org/ENCBS084RNA/,link: Derived from ENCODE donor ENCDO062AAA; https://www.encodeproject.org/ENCDO062AAA/,link: data sheet; https://www.encodeproject.org/documents/5ade93c2-573e-4140-82d1-2d058cd4bb40/@@download/attachment/B407062.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244274-10	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	data sheet: https://www.encodeproject.org/documents/28fef8e0-e171-450d-b66d-e3d199531cf2/@@download/attachment/Ambion-ERCC-Mix1.pdf,extraction method: see document,general protocol: https://www.encodeproject.org/documents/66361142-7359-4367-a55f-d00cdba58c77/@@download/attachment/SID38171.pdf	0.04563595243541255	45662624
GSM2072612	GSE78683	SAMN04284357	encdo336aaa	TRUE	TRUE	TRUE	total RNA-seq from bipolar spindle neuron (ENCLB056VRK)	cell_type: bipolar spindle neuron,biomaterial_type: in vitro differentiated cells,description: These are bipolar neurons created from iPSC from the PGP1 donor from the Personal Genome Project (PGP).,biosample encode accession: ENCBS369AAA (SAMN04284357),age: 53 year,donor_id: ENCDO336AAA,dev stage: adult,Sex: male,lab: Thomas Gingeras, CSHL,link: ENCBS369AAA at ENCODE; https://www.encodeproject.org/ENCBS369AAA/,link: Derived from ENCODE donor ENCDO336AAA; https://www.encodeproject.org/ENCDO336AAA/	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/43d8219c-6d99-4b29-b2b6-d8a9b0e8542c/@@download/attachment/292526.pdf	0.020487880243685815	39459887
GSM2071272	GSE78294	SAMN04284288	encdo069aaa	TRUE	TRUE	TRUE	small RNA-seq from heart (ENCLB223ZZZ)	tissue_type: heart,biomaterial_type: tissue,description: Human fetal heart,biosample encode accession: ENCBS055RNA (SAMN04284288),age: 28 week,donor_id: ENCDO069AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS055RNA at ENCODE; https://www.encodeproject.org/ENCBS055RNA/,link: Derived from ENCODE donor ENCDO069AAA; https://www.encodeproject.org/ENCDO069AAA/,link: data sheet; https://www.encodeproject.org/documents/2206e389-115c-4bd0-a67f-2952c7b256ec/@@download/attachment/B608270.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244122-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/ee618859-2972-4fe4-a7ff-69ceb94c2f9d/@@download/attachment/SID38482.pdf	0.12703412172372575	23243076
GSM2071285	GSE78301	SAMN04284304	encdo065aaa	TRUE	TRUE	TRUE	small RNA-seq from skin of body (ENCLB237ZZZ)	tissue_type: skin of body,biomaterial_type: tissue,description: Human fetal skin of body,biosample encode accession: ENCBS069RNA (SAMN04284304),age: 22 week,donor_id: ENCDO065AAA,dev stage: fetal,Sex: male,health state: unknown,lab: Thomas Gingeras, CSHL,link: ENCBS069RNA at ENCODE; https://www.encodeproject.org/ENCBS069RNA/,link: Derived from ENCODE donor ENCDO065AAA; https://www.encodeproject.org/ENCDO065AAA/,link: data sheet; https://www.encodeproject.org/documents/f12698ae-c4d8-407e-9747-73b25d8f17d5/@@download/attachment/B608334.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244218-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/6481db01-d005-4309-b548-5309114e9948/@@download/attachment/SID38470.pdf	0.04612329316766883	21006353
GSM2071404	GSE78379	SAMN04284356	encdo336aaa	TRUE	TRUE	TRUE	single cell RNA-seq from induced pluripotent stem cell (ENCLB237OAE)	antibody: Control,cell_type: induced pluripotent stem cell,biomaterial_type: induced pluripotent stem cell line,description: These are induced pluripotent stem cells (iPSC) created from the PGP1 donor from the Personal Genome Project (PGP).,biosample encode accession: ENCBS368AAA (SAMN04284356),age: 53 year,donor_id: ENCDO336AAA,dev stage: adult,Sex: male,lab: Thomas Gingeras, CSHL,link: ENCBS368AAA at ENCODE; https://www.encodeproject.org/ENCBS368AAA/,link: Derived from ENCODE donor ENCDO336AAA; https://www.encodeproject.org/ENCDO336AAA/,link: iPS reprogramming protocol; https://www.encodeproject.org/documents/c35ba7b3-0c2a-4794-8a59-c608e716e4b2/@@download/attachment/Methods_PGP1_iPSC.pdf,link: ENCODE dbxrefs Cellosaurus CVCL_F182; http://web.expasy.org/cellosaurus/CVCL_F182,link: Coriell sample source; http://www.ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM23338&PgId=166	total RNA	Illumina HiSeq 2500	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: Ambion mirVana,extraction protocol: https://www.encodeproject.org/documents/428a184d-7fa1-4599-9d8d-749c2eba7edd/@@download/attachment/cms_055740.pdf, extraction protocol: https://www.encodeproject.org/documents/f0cc5a7f-96a5-4970-9f46-317cc8e2d6a4/@@download/attachment/cms_055423.pdf, general protocol: https://www.encodeproject.org/documents/5f5193b0-0c61-40c6-a286-b1f6d6f0c0da/@@download/attachment/SmartSeqProtocol.pdf	0.28276445964447494	NA
GSM2071431	GSE78395	SAMN04284355	encdo336aaa	TRUE	TRUE	TRUE	small RNA-seq from fibroblast of arm (ENCLB639PKP)	cell_type: fibroblast of arm,biomaterial_type: primary cell,description: These are primary fibroblasts taken from the PGP1 donor from the Personal Genome Project (PGP).,biosample encode accession: ENCBS367AAA (SAMN04284355),age: 53 year,donor_id: ENCDO336AAA,dev stage: adult,Sex: male,lab: Thomas Gingeras, CSHL,link: ENCBS367AAA at ENCODE; https://www.encodeproject.org/ENCBS367AAA/,link: Derived from ENCODE donor ENCDO336AAA; https://www.encodeproject.org/ENCDO336AAA/,link: ENCODE dbxrefs Cellosaurus CVCL_F183; http://web.expasy.org/cellosaurus/CVCL_F183,link: Coriell sample source; http://www.ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM23248&PgId=166	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/5db8ce45-f789-47a7-937c-a811dfa7596c/@@download/attachment/LID290636.pdf	0	4507681
GSM2071594	GSE78470	SAMN04284268	NA	TRUE	FALSE	TRUE	small RNA-seq from HT1080 (ENCLB948SQG)	line: HT1080,biomaterial_type: immortalized cell line,description: An immortalized fibrosarcoma cell line of the connective tissue from a 35 year old male.,biosample encode accession: ENCBS039VHD (SAMN04284268),age: 35 year,dev stage: adult,Sex: male,health state: fibrosarcoma,lab: Thomas Gingeras, CSHL,subcellular fraction term name: nucleus,link: ENCBS039VHD at ENCODE; https://www.encodeproject.org/ENCBS039VHD/,link: Derived from ENCODE donor ENCDO033CRF; https://www.encodeproject.org/ENCDO033CRF/,link: ENCODE dbxrefs Cellosaurus CVCL_0317; http://web.expasy.org/cellosaurus/CVCL_0317,link: ATCC sample source; http://www.atcc.org/products/all/CCL-121.aspx	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/3b4352ba-65a5-4293-80d8-e3752903a74b/@@download/attachment/LID293760.pdf	0.09555347097389483	45761551
GSM2071645	GSE78491	SAMN04284423	NA	TRUE	FALSE	TRUE	small RNA-seq from SK-MEL-5 (ENCLB928ORY)	line: SK-MEL-5,biomaterial_type: immortalized cell line,description: An immortalized malignant melanoma cell line derived from a metastatic axillary node of a 24 year old female.,biosample encode accession: ENCBS524EJL (SAMN04284423),age: 24 year,dev stage: adult,Sex: female,lab: Thomas Gingeras, CSHL,subcellular fraction term name: nucleus,link: ENCBS524EJL at ENCODE; https://www.encodeproject.org/ENCBS524EJL/,link: Derived from ENCODE donor ENCDO338AAA; https://www.encodeproject.org/ENCDO338AAA/,link: ENCODE dbxrefs Cellosaurus CVCL_0527; http://web.expasy.org/cellosaurus/CVCL_0527,link: ATCC sample source; http://www.atcc.org/products/all/HTB-70.aspx	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/88d751a1-47df-4282-a328-7a7c56c27f79/@@download/attachment/LID294019.pdf	0.04442754957773192	57676685
GSM2072349	GSE78550	SAMN04284327	NA	TRUE	FALSE	TRUE	total RNA-seq from GM12878 (ENCLB036ZZZ)	line: GM12878,biomaterial_type: immortalized cell line,description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus,biosample encode accession: ENCBS090RNA (SAMN04284327),age: unknown,dev stage: adult,Sex: female,health state: unknown,lab: Ali Mortazavi, UCI,link: ENCBS090RNA at ENCODE; https://www.encodeproject.org/ENCBS090RNA/,link: Derived from ENCODE donor ENCDO000AAK; https://www.encodeproject.org/ENCDO000AAK/,link: growth protocol; https://www.encodeproject.org/documents/115993c6-3080-41bb-bb0f-93dec3200d3e/@@download/attachment/Growth_Protocol_for_GM12878_cells_used_for_the_RNA_evaluation.txt,link: ENCODE dbxrefs Cellosaurus CVCL_7526; http://web.expasy.org/cellosaurus/CVCL_7526,link: Coriell sample source; http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM12878&PgId=166	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/7c70cb49-0f95-4a8c-b20e-6cc83e684467/@@download/attachment/GM12878_Long_Total_dUTP_2x101_ENCLB036ZZZ_Ging.pdf	0.0020270283196919987	68127069
GSM2072362	GSE78557	SAMN04284324	NA	TRUE	FALSE	TRUE	polyA mRNA RNA-seq from K562 (ENCLB055ZZZ)	line: K562,biomaterial_type: immortalized cell line,description: The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.,biosample encode accession: ENCBS087RNA (SAMN04284324),age: 53 year,dev stage: adult,passage number: 5,Sex: female,health state: chronic myelogenous leukemia (CML),lab: Brenton Graveley, UConn,link: ENCBS087RNA at ENCODE; https://www.encodeproject.org/ENCBS087RNA/,link: Derived from ENCODE donor ENCDO000AAD; https://www.encodeproject.org/ENCDO000AAD/,link: growth protocol; https://www.encodeproject.org/documents/24b67f9c-c791-4a2a-a33b-419794e4681a/@@download/attachment/Graveley-K562-growth-protocol.pdf,link: ENCODE dbxrefs Cellosaurus CVCL_0004; http://web.expasy.org/cellosaurus/CVCL_0004,link: ATCC sample source; http://www.atcc.org/Products/All/CCL-243.aspx	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/afd5f7b9-9425-40b7-a9a5-0ef42a29ae83/@@download/attachment/K562_Long_PolyA_dUTP_2x101_ENCLB055ZZZ_Ging.pdf	0.10919442448421685	72009467
