"i","geo","primary","secondary","pair","srp_match","jaccard","contain_a_in_b","contain_b_in_a","days_apart","claude_choice","claude_conf","gpt_choice","gpt_conf","agreement","claude_reasoning","gpt_reasoning"
"1","GSM5377493","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.94","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","A is fully contained in B while B has extra samples, indicating B is an aggregat"
"2","GSM5377242","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","ERROR","0","A","0.93","FALSE","HTTP 503 Service Unavailable.","SRP does not match, so not an automatic merge. Series A is fully contained withi"
"3","GSM5376038","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A fully contained in B (containment A->B=1.0), making A the smaller/speci","SRP does not match, so not a direct merge. Series A is fully contained within la"
"4","GSM5375959","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","A’s sample set is fully contained in B and A is smaller (2715 vs 2776), indicati"
"5","GSM5376115","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","Series A is fully contained in Series B and has fewer samples, indicating A is t"
"6","GSM5378408","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A fully contained in B (containment A->B=1.0), making A the smaller/speci","All A samples are contained in B, while B has extra samples, indicating B is an "
"7","GSM4912465","GSE161664","GSE161665","GSE161664|GSE161665","FALSE","0.698","1","0.698","0","A","0.92","A","0.91","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","Series A is fully contained within larger Series B, indicating A is the specific"
"8","GSM5376964","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A fully contained in B (containment A->B=1.0), making A the smaller/speci","SRP does not match, so not a merge. Series A is fully contained within larger Se"
"9","GSM5376013","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller, s","A is fully contained within larger B (containment A->B=1.0) and is the smaller, "
"10","GSM5376190","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller, m","SRP does not match, so not a merge. Series A is fully contained within larger Se"
"11","GSM5376939","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","A is fully contained within B and is smaller, matching the rule that the smaller"
