"cluster_id","n_confronti","n_difettosi","motivi","frazione","almeno_uno"
"cgroup_L5_004d293d",31,0,"",0,FALSE
"cgroup_L5_00fd9348",4,0,"",0,FALSE
"cgroup_L5_021e875e",83,0,"",0,FALSE
"cgroup_L5_034592d9",5,0,"",0,FALSE
"cgroup_L5_03b38818",64,0,"",0,FALSE
"cgroup_L5_03d0ca7b",15,0,"",0,FALSE
"cgroup_L5_05322ba1",12,0,"",0,FALSE
"cgroup_L5_089ccae5",17,0,"",0,FALSE
"cgroup_L5_0e66597e",40,0,"",0,FALSE
"cgroup_L5_10344dfd",9,0,"",0,FALSE
"cgroup_L5_12212e41",23,12,"soggetto_diverso",0.521739130434783,TRUE
"cgroup_L5_12228932",29,0,"",0,FALSE
"cgroup_L5_16525349",25,0,"",0,FALSE
"cgroup_L5_17b35bdc",21,0,"",0,FALSE
"cgroup_L5_17b55386",19,1,"soggetto_diverso",0.0526315789473684,TRUE
"cgroup_L5_1bbf4b9b",16,5,"soggetto_diverso",0.3125,TRUE
"cgroup_L5_1d96b9da",33,0,"",0,FALSE
"cgroup_L5_1e8a735e",10,0,"",0,FALSE
"cgroup_L5_2248a891",20,0,"",0,FALSE
"cgroup_L5_24ae0579",11,0,"",0,FALSE
"cgroup_L5_28bee975",6,0,"",0,FALSE
"cgroup_L5_2987cdb6",40,0,"",0,FALSE
"cgroup_L5_29cb04f8",22,0,"",0,FALSE
"cgroup_L5_2a225fda",6,0,"",0,FALSE
"cgroup_L5_2ab433c8",11,0,"",0,FALSE
"cgroup_L5_2d53def6",36,0,"",0,FALSE
"cgroup_L5_2ec87595",23,0,"",0,FALSE
"cgroup_L5_31308596",9,0,"",0,FALSE
"cgroup_L5_3370a794",8,0,"",0,FALSE
"cgroup_L5_3439da02",11,0,"",0,FALSE
"cgroup_L5_344e058f",12,0,"",0,FALSE
"cgroup_L5_356eedd3",7,0,"",0,FALSE
"cgroup_L5_35d1be10",31,0,"",0,FALSE
"cgroup_L5_3668c2c2",4,0,"",0,FALSE
"cgroup_L5_37942548",28,0,"",0,FALSE
"cgroup_L5_37ecd157",5,0,"",0,FALSE
"cgroup_L5_3824dc37",9,0,"",0,FALSE
"cgroup_L5_387b0d1a",4,2,"soggetto_diverso",0.5,TRUE
"cgroup_L5_3973fe03",9,0,"",0,FALSE
"cgroup_L5_3a0a595f",35,0,"",0,FALSE
"cgroup_L5_3a58e5f5",6,0,"",0,FALSE
"cgroup_L5_3a625868",10,0,"",0,FALSE
"cgroup_L5_3b461817",20,0,"",0,FALSE
"cgroup_L5_3b91a21d",9,0,"",0,FALSE
"cgroup_L5_3be7454c",22,0,"",0,FALSE
"cgroup_L5_3d8c29f4",12,1,"soggetto_diverso",0.0833333333333333,TRUE
"cgroup_L5_3de56a79",4,0,"",0,FALSE
"cgroup_L5_3eaa92c9",12,0,"",0,FALSE
"cgroup_L5_3ec58cd6",8,0,"",0,FALSE
"cgroup_L5_3f0cc1fe",46,10,"soggetto_diverso",0.217391304347826,TRUE
"cgroup_L5_3fa847fe",5,0,"",0,FALSE
"cgroup_L5_4041e3af",13,0,"",0,FALSE
"cgroup_L5_41f7b088",35,0,"",0,FALSE
"cgroup_L5_444e7fc2",26,0,"",0,FALSE
"cgroup_L5_455fe91d",7,0,"",0,FALSE
"cgroup_L5_469db990",5,0,"",0,FALSE
"cgroup_L5_46a3a103",23,0,"",0,FALSE
"cgroup_L5_4753688f",17,0,"",0,FALSE
"cgroup_L5_479c6221",18,2,"soggetto_diverso",0.111111111111111,TRUE
"cgroup_L5_49d55bfd",29,0,"",0,FALSE
"cgroup_L5_49e290ae",14,0,"",0,FALSE
"cgroup_L5_4b901bf1",16,5,"soggetto_diverso",0.3125,TRUE
"cgroup_L5_4be9e90d",37,0,"",0,FALSE
"cgroup_L5_4d535f25",9,0,"",0,FALSE
"cgroup_L5_4f4d9051",12,0,"",0,FALSE
"cgroup_L5_516200d1",5,0,"",0,FALSE
"cgroup_L5_522e9ebd",5,0,"",0,FALSE
"cgroup_L5_522fa0c2",17,8,"soggetto_diverso",0.470588235294118,TRUE
"cgroup_L5_523e64b9",27,0,"",0,FALSE
"cgroup_L5_535d97f6",33,0,"",0,FALSE
"cgroup_L5_538960a6",13,0,"",0,FALSE
"cgroup_L5_545a48c6",5,2,"soggetto_diverso",0.4,TRUE
"cgroup_L5_56d531e8",10,0,"",0,FALSE
"cgroup_L5_5927750b",16,0,"",0,FALSE
"cgroup_L5_5929f298",8,0,"",0,FALSE
"cgroup_L5_5b9a08fb",5,0,"",0,FALSE
"cgroup_L5_5d97d5b1",5,0,"",0,FALSE
"cgroup_L5_5e0c0fae",23,0,"",0,FALSE
"cgroup_L5_601ede7b",48,0,"",0,FALSE
"cgroup_L5_63e69fdc",20,11,"soggetto_diverso",0.55,TRUE
"cgroup_L5_6b7b8076",11,3,"soggetto_diverso",0.272727272727273,TRUE
"cgroup_L5_6df6a50e",46,0,"",0,FALSE
"cgroup_L5_6ee86f02",3,0,"",0,FALSE
"cgroup_L5_702a5dea",55,0,"",0,FALSE
"cgroup_L5_721184e6",44,0,"",0,FALSE
"cgroup_L5_729b276d",3,1,"soggetto_diverso",0.333333333333333,TRUE
"cgroup_L5_74daf1c9",6,0,"",0,FALSE
"cgroup_L5_7784bb43",12,0,"",0,FALSE
"cgroup_L5_7805eee6",31,1,"soggetto_diverso",0.032258064516129,TRUE
"cgroup_L5_7934174c",28,0,"",0,FALSE
"cgroup_L5_79a73ac5",13,0,"",0,FALSE
"cgroup_L5_79b3a442",3,0,"",0,FALSE
"cgroup_L5_79ce3bd1",19,0,"",0,FALSE
"cgroup_L5_81b706c4",31,0,"",0,FALSE
"cgroup_L5_828ae0cb",12,0,"",0,FALSE
"cgroup_L5_82f82010",6,0,"",0,FALSE
"cgroup_L5_8341bee7",4,0,"",0,FALSE
"cgroup_L5_83b1f88c",25,0,"",0,FALSE
"cgroup_L5_83f57274",79,2,"soggetto_diverso",0.0253164556962025,TRUE
"cgroup_L5_840b7e36",6,0,"",0,FALSE
"cgroup_L5_844de383",6,0,"",0,FALSE
"cgroup_L5_85083e38",35,2,"soggetto_diverso",0.0571428571428571,TRUE
"cgroup_L5_855ca642",7,0,"",0,FALSE
"cgroup_L5_862cd9b9",7,0,"",0,FALSE
"cgroup_L5_871ae09e",103,0,"",0,FALSE
"cgroup_L5_87c40ebb",79,2,"soggetto_diverso",0.0253164556962025,TRUE
"cgroup_L5_889ec305",33,7,"soggetto_diverso",0.212121212121212,TRUE
"cgroup_L5_8958b27a",14,0,"",0,FALSE
"cgroup_L5_8a54ddd6",54,0,"",0,FALSE
"cgroup_L5_8ac307e0",34,0,"",0,FALSE
"cgroup_L5_8b61f50b",16,0,"",0,FALSE
"cgroup_L5_8c9339f5",17,0,"",0,FALSE
"cgroup_L5_8eca612e",15,0,"",0,FALSE
"cgroup_L5_905be893",50,0,"",0,FALSE
"cgroup_L5_90db4e34",16,0,"",0,FALSE
"cgroup_L5_92f4f307",8,0,"",0,FALSE
"cgroup_L5_93068469",22,0,"",0,FALSE
"cgroup_L5_930c8dcf",57,0,"",0,FALSE
"cgroup_L5_964c6389",39,0,"",0,FALSE
