"cluster_id","verdetto_lettore","verdetto_finale","contestato","gse_accusati","motivo","peso_citati","n_studi","contrast_entity_label","k_effective","k_kish","n_sig","coherence_verdict"
"cgroup_L5_004d293d","coerente","incoerente","True","GSE186341;GSE237413","Il revisore ha mancato un'intrusione reale: in GSE237413 due confronti su tre ('Lapatinib-treated Senescent SKBR3' n=1vs3 e la sua replica n=4vs3) sono appaiati contro 'Untreated SKBR3' — ESATTAMENTE la stessa etichetta di controllo gia' usata per il confronto lapatinib-non-senescente dello stesso studio, senza alcun qualificatore 'Senescent' sul lato controllo. Lo stato di senescenza e' presente nel trattato ma non dichiarato nel controllo: quei due confronti misurano l'effetto combinato di lapatinib+senescenza contro una baseline non senescente, non l'effetto isolato del farmaco (mecc.7/9, stesso pattern del background-non-tenuto-costante gia' visto come difetto altrove nel corpus, es. TGF-b1+3C vs TGF-b1+DMSO). Il peso e' verosimilmente basso (n piccoli, il gruppo e' dominato al 61% da un altro studio, probabile GSE186341 con le sue 9 linee cellulari correttamente appaiate), ma la regola del progetto e' che un solo confronto intruso rende il gruppo incoerente, con lo studio e il peso dichiarati per chi legge: qui l'intruso e' GSE237413 (2 dei 16 confronti).",0.146950940553288,5,"lapatinib",5,2.22953019097398,1052,"coherent"
"cgroup_L5_00fd9348","coerente","coerente","False","","ONS-76, DU145, FT237, FT246 sono tutte linee cellulari in coltura, ciascuna col proprio controllo appaiato per linea e tempo (FT237 4h/4h, FT246 24h/24h correttamente appaiati per tempo). Nessuna etichetta rivela tessuto/organoide/plasma. Nessun mismatch trovato.",0,3,"propranolol",3,1.42857040350008,1413,"coherent"
"cgroup_L5_021e875e","incoerente","incoerente","True","GSE161800;GSE173201;GSE206649","Il motivo del revisore regge: in GSE161800 quattro dei cinque confronti appaiano trattati 'proliferative'/'pre-sorted'/'proliferating cells' allo stesso controllo 'Untreated arrested cells' (stato del ciclo non corrispondente). Ma manca una seconda intrusione dello stesso tipo (materiale/linea non appaiata) in GSE206649: 'A2780/CDDP treated with cisplatin' (la sigla /CDDP indica la sublinea resistente al cisplatino, la stessa nomenclatura di A2780cis usata correttamente altrove nel gruppo, es. GSE173201) e' appaiata a 'A2780 untreated', cioe' la linea PARENTALE non trattata: confonde l'effetto acuto del farmaco con la selezione di resistenza. Resto del gruppo pulito. Verdetto invariato, motivo esteso a un secondo studio intruso.",0.151582198390402,17,"cisplatin",17,16.0511445913724,835,"coherent"
"cgroup_L5_034592d9","coerente","coerente","False","GSE173902","NHEK e keratinociti sono esplicitamente dichiarati in 2/3 studi; GSE173902 non specifica il materiale ma non c'e' prova testuale di un materiale diverso (nessuna etichetta contraddittoria da citare). Stesso agente, stesso verso, controllo sempre 'untreated'. Non ho trovato l'evidenza concreta necessaria per ribaltare — solo un'assenza di dettaglio, che non basta da sola come accusa.",0.872208937012349,3,"Staphylococcus epidermidis",3,1.50853935537484,1539,"coherent"
"cgroup_L5_03b38818","coerente","coerente","False","GSE217421;GSE217423;GSE64741","Verificato riga per riga, tutti i confronti: ogni coppia trattato/controllo e' materialmente appaiata al proprio interno (linea con linea, PDX con PDX, xenograft con xenograft), nessun secondo agente aggiunto solo al trattato, nessun controllo improprio. Il pattern GSE217421/GSE217423 (pool condiviso multi-donatore) e' coerente col disegno gia' visto in dasatinib ed estradiolo. Unica anomalia trovata: in GSE64741 'A375R cells treated with 75 mg/kg vemurafenib for 10 doses' usa un dosaggio tipicamente in vivo (mg/kg, dosi) identico a quello delle righe esplicitamente etichettate 'A375 cells xenograft ... 75 mg/kg ... 10 doses' nello stesso GSE, ma senza la parola 'xenograft' — probabile inconsistenza di etichettatura per lo stesso materiale (xenograft del clone resistente), non un mismatch fra trattato e controllo entro il confronto (entrambi i bracci dicono 'A375R cells' in modo consistente). Non sufficiente a ribaltare il verdetto: nessuna prova di un vero mismatch treated/control o di un secondo fattore non catturato.",0.248841311148154,9,"vemurafenib",9,3.96320633337472,671,"coherent"
"cgroup_L5_03d0ca7b","dubbio","dubbio","False","GSE112202;GSE115542","Confermo il dubbio: GSE115542 usa la parola 'tissue' due volte di fila ('Medulloblastoma brain tissue treated with digoxin' / 'Untreated medulloblastoma brain tissue'), un segnale testuale reale di materiale ex vivo. Ma le etichette di GSE112202 ('Follicular thyroid cancer - oncocytic variant + Digoxin' ecc.) non dicono mai 'cell line': descrivono sottotipi istologici con stato mutazionale (TERT mutant), compatibile sia con linee cellulari derivate da paziente sia con tessuto/organoide primario stesso. Non c'e' abbastanza testo per stabilire con certezza se i due materiali sono davvero incompatibili o in realta' simili (entrambi ex vivo). Il revisore ha gia' pesato correttamente l'incertezza senza inventare un'accusa ne' un'assoluzione: 'dubbio' resta il verdetto piu' onesto.",0.35233978147999,3,"digoxin",3,1.25382567165822,766,"coherent"
"cgroup_L5_05322ba1","coerente","coerente","False","","Pannello di linee epatiche (Hep3B, HepG2 a piu' dosi, Huh6, Huh7, PLC) + due linee ingegnerizzate (mtRunx1, transgene_stable), ciascuna col proprio controllo appaiato. mtRunx1 potrebbe suggerire un contesto di lignaggio diverso (leucemia) rispetto alle linee epatiche, ma questo e' diversita' di lignaggio tissutale fra linee cellulari, non un mix di CATEGORIE di materiale (tessuto/plasma/organoide) — pattern gia' accettato nel corpus per pannelli farmaco-su-linee (vedi daunorubicin, regorafenib, propranolol in questo stesso blocco). Nessuna etichetta dichiara tessuto/organoide/plasma. Non contesto.",0,3,"omacetaxine",3,2.07019261921039,4270,"coherent"
"cgroup_L5_089ccae5","incoerente","incoerente","False","GSE136725;GSE217421","Confermato esattamente come scritto dal revisore: in GSE136725 il secondo confronto appaia 'Bortezomib-treated bone marrow' (trattato, tessuto di midollo osseo) contro 'Untreated MM1.S' (controllo, linea cellulare mielomatosa) — il materiale del trattato e del controllo non corrisponde (mecc.5/6). Il resto del gruppo (MM.1S, shPSMD2 con Dox/no-Dox, leucemia, cardiomiociti GSE217421) e' correttamente appaiato linea-per-linea o background-per-background.",0.143854711153727,5,"bortezomib",5,3.62280061333751,1978,"coherent"
"cgroup_L5_0e66597e","incoerente","incoerente","True","GSE147283;GSE184156;GSE214052;GSE231397;GSE266932","Il motivo del revisore regge: in GSE214052 tre dei cinque confronti trattano 'MCF7 RELA KO2 + Fulvestrant' ma il controllo dichiarato e' 'MCF7 RELA KO1 DMSO 6h' (clone knockout diverso); gli altri due confronti dello stesso studio (parentale e KO1 appaiati correttamente) sono puliti. Manca pero' una seconda intrusione, di meccanismo diverso, in GSE231397: 'Fulvestrant + E2' vs 'DMSO' - l'estradiolo e' un secondo agente presente nel trattato e assente dal controllo (il secondo confronto dello stesso studio, Fulvestrant puro vs DMSO, e' pulito). Resto del gruppo (inclusi i pair geneticamente appaiati shARD in GSE147283, ESR1Y537S in GSE184156/GSE266932) pulito. Verdetto invariato, motivo esteso a due studi intrusi con meccanismi diversi (9 e 7).",0.554342451155305,12,"fulvestrant",12,11.1656464101693,2515,"coherent"
"cgroup_L5_10344dfd","coerente","coerente","False","GSE179347","Confermato. Glucosio alto contro controllo a basso glucosio/vehicle, appaiato per linea in ogni studio (HepG2, HMCL-7304, SGBS nello stesso GSE179347 ciascuno con il proprio 'EMPTY EMEM MEDIUM' control). Nessun'entita'-ombrello, nessuna combinazione non catturata, nessuna asimmetria di materiale trovata.",0.313655107758678,4,"D-glucopyranose",4,2.70420307933714,2326,"coherent"
