"cluster_id","old_id","old_label","new_canonical","new_id","new_kind","match_strength","confidence","action","name_recovery_source","name_llm_unvalidatable","evidence","llm_proposed_name","conflicting_id","expected_id","is_canary","expected_canonical","correct"
"canary_lps","CHEBI:16412","lipopolysaccharide","lipopolysaccharide","CHEBI:16412","pathogen_or_aggregate_exposure","STRONG","high","noop",NA,FALSE,"The samples are treated with LPS (lipopolysaccharide) at a concentration of 100 ng/ml for 4 hours, and the cell type is human macrophage. LPS is a well-known component of the outer membrane of Gram-negative bacteria and is commonly used to stimulate immune responses in macrophages.","lipopolysaccharide",NA,"CHEBI:16412",TRUE,"lipopolysaccharide",TRUE
"canary_sars","NCBITaxon:2697049","SARS-CoV-2","SARS-CoV-2","NCBITaxon:2697049","pathogen","STRONG","high","noop",NA,FALSE,"The cell line used is Calu-3, which is commonly used for respiratory virus research. The samples are explicitly labeled as 'SARS-CoV-2 infected MOI 0.1 vs mock,' indicating infection with the SARS-CoV-2 virus. Additionally, the mention of 'coronavirus' further supports this identification.","SARS-CoV-2",NA,"NCBITaxon:2697049",TRUE,"SARS-CoV-2",TRUE
"canary_tamoxifen","CHEBI:41774","tamoxifen","tamoxifen","CHEBI:41774","small_molecule","STRONG","high","noop",NA,FALSE,"The cell line is MCF-7, a breast cancer cell line known to be responsive to tamoxifen treatment. The treatment concentration of 1 uM is within the typical range used for tamoxifen in experimental settings. Tamoxifen is a well-known selective estrogen receptor modulator (SERM) and estrogen antagonist.","tamoxifen",NA,"CHEBI:41774",TRUE,"tamoxifen",TRUE
"canary_tnf","HGNC:TNF","TNF","TNF-alpha",NA,"cytokine","STRONG","high","flag_review",NA,FALSE,"The treatment field explicitly mentions 'TNF-alpha' and describes it as a 'tumor necrosis factor cytokine', which is consistent with the current label.","TNF-alpha","MeSH:D014409","HGNC:TNF",TRUE,"TNF",FALSE
"gold_aml",NA,"Antistreptolysin","acute myeloid leukemia","MeSH:D015470","disease_vs_normal","STRONG","high","override","mistral_fallback",FALSE,"The raw metadata consistently indicates that the samples are from bone marrow blasts of AML patients compared to healthy donor CD34+ cells.","acute myeloid leukemia",NA,"MeSH:D015470",FALSE,"acute myeloid leukemia",TRUE
"gold_dexa",NA,"antistreptolysin","dexamethasone","CHEBI:41879","small_molecule","STRONG","high","override","mistral_fallback",FALSE,"The treatment field in the metadata explicitly mentions 'dexamethasone 100 nM' and describes it as a synthetic glucocorticoid corticosteroid with anti-inflammatory properties.","dexamethasone",NA,"CHEBI:41879",FALSE,"dexamethasone",TRUE
"gold_dmso_veh",NA,"cytokine unknown","dimethyl sulfoxide","CHEBI:28262","vehicle_control","STRONG","high","override","mistral_fallback",FALSE,"All samples are treated with DMSO 0.1%, which is a common vehicle control in biological experiments.","dimethyl sulfoxide",NA,"CHEBI:28262",FALSE,"dimethyl sulfoxide",TRUE
"gold_estradiol","CHEBI:15347","acetone",NA,NA,"small_molecule","NONE","high","keep",NA,TRUE,"The treatment field in the metadata explicitly mentions '17-beta-estradiol 10 nM 24h vs vehicle'. This is a well-known estrogen receptor agonist used in the study involving the MCF-7 breast cancer cell line.","17-beta-estradiol",NA,"CHEBI:16469",FALSE,"estradiol",FALSE
"gold_hcc",NA,"Pemphigoid Gestationis","hepatocellular carcinoma","MeSH:D006528","disease_vs_normal","STRONG","high","override","mistral_fallback",FALSE,"The raw metadata indicates that the samples are from liver tissue and specifically mentions 'hepatocellular carcinoma tumor vs adjacent non-tumor liver'. This strongly suggests that the biological entity of interest is hepatocellular carcinoma, a type of liver cancer.","hepatocellular carcinoma",NA,"MeSH:D006528",FALSE,"hepatocellular carcinoma",TRUE
"gold_ifnb","CHEBI:3424","carnitine","interferon beta","MeSH:D016899","cytokine","STRONG","high","override","mistral_fallback",FALSE,"The treatment field explicitly mentions 'IFN-beta' and 'type I interferon antiviral cytokine'. This directly indicates that the biological entity is interferon beta.","interferon beta",NA,"HGNC:IFNB1",FALSE,"IFNB1",FALSE
"gold_il6","CHEBI:37527","acid",NA,NA,"cytokine","NONE","high","keep",NA,TRUE,"The treatment field explicitly mentions 'recombinant human IL-6' and describes it as a 'pro-inflammatory cytokine'. This directly indicates that the biological entity is interleukin-6.","interleukin-6",NA,"HGNC:IL6",FALSE,"IL6",FALSE
"gold_lps","CHEBI:3424","carnitine","lipopolysaccharide","CHEBI:16412","pathogen_or_aggregate_exposure","STRONG","high","override","mistral_fallback",FALSE,"All samples are treated with LPS (lipopolysaccharide), a known bacterial endotoxin and TLR4 agonist, which is the common factor among them.","lipopolysaccharide",NA,"CHEBI:16412",FALSE,"lipopolysaccharide",TRUE
"gold_nsclc",NA,"Netherlands Antilles","non-small cell lung carcinoma","MeSH:D002289","disease_vs_normal","STRONG","high","override","mistral_fallback",FALSE,"The raw metadata clearly indicates that the samples are from patients with non-small cell lung carcinoma (NSCLC), specifically adenocarcinoma, compared to normal lung tissue.","non-small cell lung carcinoma",NA,"MeSH:D002289",FALSE,"non-small cell lung carcinoma",TRUE
