study_id,caso,meccanismo,motivo
GSE100785,B,lo studio entra o esce dal pooling,ENTRATO con due confronti appaiati anche sull'eta' e sul tessuto: il riferimento non poolava questo studio.
GSE100855,C,l appaiamento del braccio di controllo cambia,"Quattro confronti in entrambe le esecuzioni, due HeLa e due fibroblasti, ognuno appaiato al proprio interno: ora la distinzione e' il lotto ('fourth/second/third batch' su entrambi i bracci), nel riferimento era la linea ('Engineered HeLa S3 ...' su entrambi i bracci). Il nuovo perde dose, durata e la qualifica 'Engineered', il vecchio perde il lotto: due descrizioni della stessa partizione, entrambe difendibili."
GSE101993,A,altro,"Il nuovo sostituisce il controllo di CELLULE del riferimento («Primary Human Bronchial Epithelial Cells Healthy») con «Primary Human Bronchial Tissue», introducendo una discordanza di materiale che prima non era leggibile. Se si accetta la lettura di A, e' C — dichiarato."
GSE102209,B,lo studio entra o esce dal pooling,"ENTRATO con 'xenograft of patient sample + imatinib' contro 'xenograft of patient sample + DMSO', appaiato: il riferimento lasciava fuori uno studio valido."
GSE102505,B,altro,"Il nuovo aggiunge 'glioma derived stem cells + Tunicamycin' vs '... + DMSO', che il riferimento non poolava: coppia pulita, tipo cellulare identico sui due bracci."
GSE102674,C,solo la formulazione dell etichetta cambia,"Solo la formulazione cambia: 'TGFβ1 Treated' contro 'Vehicle Control' ora, 'TGFβ1' contro '-vehicle' nel riferimento. Stesso contrasto."
GSE102677,C,il tempo o la dose vengono dichiarati o persi,Il difetto della combinazione c'e' in ENTRAMBE le esecuzioni ('PBMC + Metformin + MtbLysate' contro un controllo non stimolato); cambia solo l'indicazione del donatore sul controllo. Nessuna delle due e' migliore.
GSE102812,A,altro,"Nel riferimento era 'FSHD' vs 'Control', caso-controllo pulito e sull'entita' del gruppo; ora non e' poolato in nessuna meta-analisi."
GSE103501,B,l appaiamento del braccio di controllo cambia,Ora due coppie appaiate per linea ('LPS-treated H-391' vs 'Medium-treated H-391' e SYS-177); il riferimento aveva solo SYS-177.
GSE103930,C,solo la formulazione dell etichetta cambia,"'IL17A stimulation' vs 'Untreated' ora, 'PBMC CD4 + IL17A' vs 'PBMC CD4 (untreated)' prima: stesso contrasto, il riferimento e' solo piu' informativo sul tipo cellulare."
GSE104178,C,l appaiamento del braccio di controllo cambia,"'Matched Normal Mucosa' ora contro 'Normal Mucosa' prima: l'etichetta nuova dichiara l'appaiamento per paziente che la vecchia taceva, ma il contrasto e' lo stesso."
GSE104193,C,altro,"Ora ""MCF10A Hypoxia""/""MDA-MB-231 Hypoxia"" contro le rispettive normossie; nel riferimento le coppie con PP242 tenuto costante sui due lati. Entrambe le costruzioni isolano l'ipossia, l'etichetta non permette di preferirne una."
GSE104282,B,l appaiamento del braccio di controllo cambia,"Aggiunta la coppia dentro lo stesso paziente HIDS ('HIDS patient 1, LPS 24h' vs 'HIDS patient 1, RPMI 24h'); entrambe appaiate per soggetto."
GSE104348,B,lo studio entra o esce dal pooling,"ENTRATO con 'IFNB, fetal' vs 'Mock, fetal', appaiato sul materiale fetale; nel riferimento non era poolato."
GSE104869,A,lo studio entra o esce dal pooling,"USCITO. Il riferimento poolava qui 'Vemurafenib' contro 'DMSO', etichetta che nomina il farmaco dichiarato dal gruppo; ora lo studio compare solo sotto CHEBI:27881 e CHEBI:28119 mentre CHEBI:63637 esiste ancora. L'etichetta decide il composto e il nuovo run non lo porta nel gruppo di quel composto."
GSE104917,C,l appaiamento del braccio di controllo cambia,"Ora solo 'Temozolomide 72h' vs 'DMSO 72h'; nel riferimento anche la coppia a 24h. Tutte e due appaiate per tempo: il nuovo copre di meno, non sbaglia."
GSE105088,C,l appaiamento del braccio di controllo cambia,"Cambia solo il controllo dichiarato: ""LNCaP_PBS"" ora, ""LNCaP + DMEM medium"" nel riferimento. Entrambi sono controlli non trattati sulla stessa linea, appaiati a ""LNCaP_IL-1beta""; l'etichetta non dice quale sia il veicolo vero."
GSE105160,C,altro,Il riferimento fondeva i trattati in un braccio unico contro lo stesso mock trasfettato (nascondendo l'eventuale mescolanza); il nuovo li separa dichiarando la trasfezione su uno solo (rendendo visibile un'asimmetria). Nessuna delle due e' pulita: l'etichetta sorgente e' ambigua sulla modalita' di somministrazione.
GSE105951,C,solo la formulazione dell etichetta cambia,Sola riscrittura del controllo («Untreated Proliferating» → «No Treatment (Proliferating)»).
GSE106336,C,solo la formulazione dell etichetta cambia,"Stesso contrasto, il nuovo aggiunge la linea sull'etichetta («Gemcitabine 10 µM» / «PBS vehicle control» → «HPAFII_Gemcitabine_10_uM» / «HPAFII_PBS»)."
