"cluster_id","umano","mistral_n","mistral_b","mb_stabile","sev_u","sev_b","delta"
"cgroup_L5_c548d053","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_871ae09e","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_d9e23e09","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_83f57274","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_b71a25a2","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_930c8dcf","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_f94b6180","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_87c40ebb","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_c0d1d837","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_905be893","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_021e875e","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_b6b8bc00","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_8a54ddd6","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_a32e5eaa","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_aecd610f","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_6df6a50e","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_eb5e1e65","incoerente","dubbio","incoerente",TRUE,3,3,0
"cgroup_L5_0e66597e","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_be15b706","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_721184e6","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_1d96b9da","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_3a0a595f","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_49d55bfd","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_601ede7b","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_85083e38","incoerente","dubbio","coerente",TRUE,3,1,2
"cgroup_L5_a12414d4","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_a25d0964","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_c3ae78cd","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_03b38818","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_444e7fc2","incoerente","dubbio","dubbio",TRUE,3,2,1
