"cluster_id","verdetto_finale","n_studi_difettosi","etichetta_non_chiude","rilievi_accettati","rilievi_respinti","motivo","k_effective","k_kish","quota_top1","n_sig","I2_med","coherence_verdict","contrast_entity","contrast_entity_label","fascia","n_difetti"
"cgroup_L5_2e16719f","difettosa",7,"False",2,2,"Entita TGFB1, gain, controllo vehicle_untreated, 54 studi. La grande maggioranza dei confronti e' appaiata alla lettera (tempo su entrambi i lati in GSE117329 e GSE119606; genotipo identico sui due bracci in GSE154646, GSE264288, GSE178714; partner di co-coltura appaiato in GSE155832). Ma SEI difetti sono leggibili nell'etichetta e reggono: (1) GSE139963 mette l'ipossia solo nel trattato mentre lo stesso studio ha il confronto pulito 'TGF-β1' contro 'PBS (Vehicle Control)'; (2) GSE199225 mette EPS solo nel trattato, e la riga 'CTRL noEPS TGFB LC2' contro 'CTRL noEPS LC2' dello stesso studio dimostra che EPS e' un fattore dichiarato; (3) GSE240476 misura TGFB e AR insieme; (4) GSE210984 confronta MSC da iPSC contro MSC primarie mentre lo stesso studio ha la coppia primaria-contro-primaria; (5) GSE163241 non appaia il passaggio (13 contro 12), e il passaggio e' DICHIARATO SU ENTRAMBI I LATI, quindi il disallineamento e' leggibile; (6) GSE97358 incrocia etnia e sesso in un disegno di TRATTAMENTO. SU GSE97358 ACCOLGO IL CRITICO B: le righe difettose sono TRE su cinque, non due, perche' 'TGFB1-treated (Chinese, M)' contro 'Control (Malay, M)' e' poolata DUE volte come righe distinte (n=3 vs 4 e n=7 vs 4); il lettore ne aveva contata una. RESPINGO invece i due rilievi di tempo del critico B (GSE160671 e GSE148767): li' il controllo NON dichiara alcun tempo ('Control without treatment', 'M010817 control'), quindi non c'e' nessun disallineamento LEGGIBILE (regola 2) — e per questo il metro del lettore NON e' asimmetrico rispetto a GSE163241, dove invece i due passaggi sono entrambi scritti e diversi. RESPINGO anche il rilievo sulla duplicazione di GSE191279 come difetto di appaiamento: le due righe identiche raddoppiano il peso dello studio (ed e' un difetto di macchina che si ripete in GSE155336 del gruppo decitabina), ma non rompono il contrasto e sono presenti IDENTICHE anche nel riferimento. LIMITI DICHIARATI, non contati come difetti: gli undici 'Untreated'/'control' senza tempo dichiarato; GSE125577 che dichiara il passaggio solo sul controllo; gli 11 controlli 'Healthy, 13 days of culture' di GSE191279 che servono contemporaneamente questo gruppo e il gruppo BPCO.",54,49.3044337846177,0.0237462471326119,8200,92.4983789554536,"coherent","HGNC:11766","TGFB1","k >= 15",7
"cgroup_L5_d9e23e09","corretta",0,"False",2,3,"Le 51 entry poolate mettono tutte un braccio TNF contro un braccio non stimolato dello stesso materiale, e l'appaiamento e' scritto su entrambi i lati dove conta: «CFTRpos TNFα» vs «CFTRpos Untreated», «TNF-treated Wrist FLS» vs «Control Wrist FLS», «TNFα 6h» vs «Vehicle 6h», «wild type TNF stimulated finger» vs «wild type unstimulated finger», «Colonic organoid, donor 1, TNF 10ng/mL» vs «Colonic organoid, donor 1, no treatment». Nessun secondo agente nel solo trattato, nessuna sede/materiale/passaggio discordante. RESPINTI i tre rilievi del critico B, ognuno sull'etichetta che cita. (1) GSE161761: il critico deduce il disallineamento di tempo dal fatto che «TNF for 14 days» e «TNF for 2 days» condividono lo stesso «Untreated» (n=5); ma il controllo NON dichiara alcun tempo e lo studio non mostra un controllo datato, quindi la condizione della rubrica («quando lo stesso studio ha il controllo a 24h») non e' soddisfatta: resta un sospetto strutturale, che dichiaro, non un difetto leggibile. (2) GSE132958: la lettura «il controllo ha ricevuto TNF» non e' nell'etichetta — «TNF-alpha» sta sul trattato e «Nontargeting control» dice 'control'; nel riferimento lo stesso braccio era «TNF-alpha stimulated». (3) GSE64233: shp65 e' identico sui DUE bracci; e' un argomento di plausibilita' biologica, ed e' esattamente la classe di accusa gia' ritrattata in questo progetto (GSE178714 in TGF-β1, genotipo KO identico sui due lati). ACCOLTI i due rilievi del critico A, che non toccano il verdetto ma correggono due frasi del lettore: la coppia del riferimento «ES-derived mesenchymal stem cells, TNFa stimulation» → «... undifferentiated, untreated» non e' provatamente difettosa (qualificatore su un lato solo, stessa classe dei sospetti), e il riferimento di GSE196243 conteneva gia' una coppia asimmetrica identica per forma («Dermal Fibroblast NDAS TNF-treated» → «Dermal Fibroblast Untreated»), quindi il nuovo run non peggiora l'appaiamento. Sospetti dichiarati: qualificatore su un lato solo (GSE132958, GSE225274, GSE186396, GSE196243, GSE215275), DMSO come controllo di una citochina (GSE108621, GSE191101), peso ripetuto sullo stesso controllo (GSE130226 5 entry, GSE202436 8, GSE163548 3), e il controllo unico di GSE161761 per due durate.",36,30.7272895477455,0.0416159741621448,7285,83.2480832182946,"coherent","HGNC:11892","TNF","k >= 15",0
"cgroup_L5_c548d053","difettosa",3,"False",0,2,"Confermo i tre difetti del lettore perche' sono gli unici in cui il braccio di CONTROLLO esclude positivamente il secondo agente, non tace: 'T3 and LPS 24h' contro 'RPMI media 24h' (GSE180693), 'PW and LPS' contro 'Untreated' (GSE181851), 'Circulating macrophage + IFN-gamma and LPS' contro 'Circulating macrophage untreated' (GSE97744). E' la forma esatta di 'LPS + IFN-gamma contro untreated' della regola 4. Respingo entrambi i rilievi del critico B. (1) GSE231686 'SLE LPS + 362': '362' e' un numero nudo; in tutto il blocco il '+' introduce sempre un NOME (DMSO, p53mut, shYAP1, BMS), mai una cifra, e l'etichetta non dice che sia un agente: resta sospetto. (2) GSE251809: la riga del confronto fra esecuzioni e' per STUDIO, non per campione; che il riferimento poolasse bracci polyIC dello stesso studio non prova che QUESTI campioni siano polyIC, e uno studio su trofoblasti di corion puo' avere sia LPS sia poly(I:C) (disegno TLR4 contro TLR3). Sospetto dichiarato, non difetto. Tasso: 3 confronti difettosi su 49, in un gruppo da 33 studi con Kish 29,2 e nessuno studio sopra il 4% del peso.",33,29.2018921831781,0.040424403131748,5088,84.9413505959703,"coherent","CHEBI:16412","lipopolysaccharide","k >= 15",3
"cgroup_L5_83f57274","difettosa",4,"False",1,4,"Il verdetto e' deciso da un'etichetta che non lascia margine: GSE134737 appaia TRATTATO ""hypoxia, T1D, disease model, neuron"" a CONTROLLO ""T1D, polyA RNA, neurite"" - entrambi i lati dichiarano un compartimento e i due compartimenti sono DIVERSI (neuron contro neurite). E' la stessa forma di ""pons contro brain"" dell'elenco dei difetti veri, e da sola basta per il verdetto, quindi la sorte degli altri rilievi non lo cambia. Sugli altri due studi accusati dal lettore RESPINGO i rilievi del critico A e tengo l'accusa, dichiarando il criterio: ""RKO Normoxia SETX+"" e ""DLD-1 BRD4_AID NT normoxia"" portano un marcatore di STATO del campione (proficienza genica, non-targeting) scritto sul solo controllo mentre il trattato tace; l'etichetta non dice che cosa sia il trattato, e la regola 6 impone la lettura che non sovrastima. A ha ragione che il significato non e' provato, non che l'asimmetria non sia scritta: e' scritta, ed e' proprio nel testo del controllo. Distinguo pero' - e lo dichiaro - i marcatori di STATO dai descrittori di PREPARAZIONE (""polyA RNA""), che resto a trattare come sospetti. Del critico B accetto solo GSE269699: la riga [RIFERIMENTO] dello STESSO confronto, presente nel materiale, dice ""Hypoxia (Donor 1)"" contro ""Normoxia (Control, Donor 2)"", donatori diversi = categoria elencata alla regola 4; l'etichetta nuova ha smesso di dirlo, e assolvere un difetto perche' l'annotazione lo ha perso e' esattamente la lettura che sovrastima. Principio dichiarato e applicato in tutto il blocco: il riferimento puo' AGGRAVARE, mai ASSOLVERE. Respingo ""Memory Hypoxia"" (il controllo e' la normossia della stessa linea; un trattamento con una storia non e' un braccio disallineato) e GSE120523 (""Control"" nudo in uno studio a un solo tipo cellulare non prova materiale diverso; il parallelo con GSE217421 non regge perche' li' lo studio distingueva PIU' linee).",27,24.7622364213604,0.0460998506769636,3291,95.8680986556602,"coherent","STR:hypoxia","hypoxia","k >= 15",4
"cgroup_L5_871ae09e","difettosa",1,"True",0,5,"Su 45 confronti l'appaiamento e' quasi ovunque virale-contro-mock nello stesso materiale e allo stesso tempo ('A549 SARS-CoV-2 MOI 2 24h' vs 'A549 Mock treatment 24h'; 'Sclera_SARS-CoV-2' vs 'Sclera_mock'; 'SIRT5-KO SARS-CoV-2 (Replicate)' vs 'SIRT5-KO Mock', genotipo costante). RESTA UN SOLO STUDIO DIFETTOSO, GSE151803, ma NON per il motivo scritto dal lettore: il critico A ha ragione che 'COVID-19 Lung' non dice ne' 'paziente' ne' 'tessuto' ne' 'autopsia', quindi la lettura 'clinico contro sperimentale' NON e' leggibile e la respingo. Il difetto che resta e' un altro, e si legge: lo STESSO controllo 'hESC Mock' (n=3) serve DUE bracci trattati che dichiarano materiale diverso, 'COVID-19 Lung' (n=2) e 'hESC sars-Cov2' (n=3); al piu' uno dei due e' appaiato per materiale, e nel riferimento lo stesso studio dimostra di saper etichettare il mock per materiale ('Liver Organoid Mock'). Respingo i quattro rilievi del critico B. (B1) GSE226702: le tre righe 48h/72h/96h condividono un 'Mock infection' senza tempo, ma la rubrica chiede il tempo non appaiato QUANDO LO STESSO STUDIO HA IL CONTROLLO AL TEMPO GIUSTO, e qui il poolato mostra che lo studio ha un solo gruppo di controllo; che GSE199743 dati i mock a 48h e 96h riguarda un ALTRO studio e non prova nulla su questo: sospetto, non difetto. (B2) GSE225517: lo studio ha due linee e due coppie, e la coppia gemella e' esplicitamente Line 15 su entrambi i bracci; la lettura economica e' che il trattato senza linea sia Line 11 come il suo controllo, non che sia di un'altra linea: e' un'omissione di etichetta, sospetto. (B3) GSE244485/GSE244486: nessun difetto di appaiamento (ogni riga e' infetto-vs-mock sullo stesso materiale); il dubbio di doppia contabilizzazione e' un limite di indipendenza, e su 25 studi con Kish 22,2 non muove il verdetto. (B4) GSE163959: il mock LM4 usato anche nel gruppo influenza e' una dipendenza FRA gruppi, non un disappaiamento dentro il confronto; e 'Lung Tissue SARS-CoV-2 Infected' non porta la sigla, quindi il presunto mismatch con LM7 non e' verificabile.",25,22.2119760984512,0.0537392510303472,816,91.6870168332816,"coherent","NCBITaxon:2697049","SARS-CoV-2","k >= 15",1
"cgroup_L5_b71a25a2","difettosa",1,"False",3,3,"Il verdetto e' deciso da una sola etichetta: [GSE236168] TRATTATO 'JQ1 + compound 3b (1.5uM, 12h; 30uM, 48h)' vs CONTROLLO 'DMSO (48h)'. Il compound 3b sta solo nel trattato, quindi il contrasto isola JQ1+compound 3b: e' la forma 'LPS + IFN-gamma contro untreated'. Tutto il resto del gruppo e' appaiato (fondo ripetuto sui due bracci: 'H446 NEUROD1 KO + JQ1' vs 'H446 NEUROD1 KO + DMSO'; SARS-CoV-2 su entrambi i lati in GSE239585). ACCOLTO il critico A: la SOTTOACCUSA di tempo sullo stesso confronto NON regge — '48h' compare in tutte e due le etichette, e la parentesi e' uno schema dose-tempo, non la prova di un prelievo a un tempo che il controllo non ha; il difetto resta quello del secondo agente. ACCOLTA anche la correzione su GSE78801: il genotipo H3.1K27M e' asimmetrico in 3 coppie su 4 (la coppia a 3h e' 'pons' contro 'brain' senza genotipo), mentre la sede anatomica discordante regge su 4/4 — l'uscita resta giusta, ma per la sede. RESPINTI i tre rilievi del critico B: (a) GSE92532 'JQ1 24h Donor 1' vs 'DMSO 24h' — l'etichetta prova che il controllo NON dichiara il donatore, non che sia un altro donatore, e in questo studio non esiste da nessuna parte un controllo etichettato per donatore che dimostri il contrario (a differenza del gruppo cetuximab, dove esiste); resta sospetto forte; (b) GSE158552 '(differentiated)' contro '(control)' e' asimmetria di DESCRIZIONE, non differenza dichiarata di materiale — e' la classe di falso allarme che in questo progetto e' gia' costata il 52% delle segnalazioni; (c) i doppioni con etichette identiche (SY01, MCF7, DLD-1) sono riuso/doppio conteggio del controllo, cioe' un problema di peso e di dipendenza fra confronti, non un disallineamento fra i bracci: registrato come limite, non come difetto.",25,23.7124199386316,0.0471055841711018,9294,96.2855083740469,"coherent","CHEBI:137113","JQ1","k >= 15",1
"cgroup_L5_905be893","incerta",1,"True",1,2,"Diciotto studi su diciannove appaiano IL-1beta al proprio controllo nello stesso materiale e con lo stesso contesto genetico: ""IL1b Stimulated NDUFA4 KO"" vs ""NDUFA4 KO"" (genotipo identico sui due bracci), ""dermal fibroblasts IL-1b"" vs ""dermal fibroblasts unstimulated"", ""IL1beta day 21"" vs ""Control day 21"", ""RA PBMCs IL-1beta"" vs ""RA PBMCs Untreated"". Resta aperto un solo confronto. ACCOLGO il critico A su GSE196195: ""Female Donor"" e' un attributo di SESSO, non un indice di donatore, quindi le due etichette NON dichiarano donatori diversi e il difetto non ha la forma canonica ""(Donor 3)"" contro ""(Donor 1)"" in cui entrambi i lati portano lo stesso tipo di identificatore con valori diversi; l'accusa del lettore, cosi' com'e' scritta, non e' leggibile sull'etichetta e va respinta come difetto provato. Ma non seguo il critico A fino a ""corretta"": le due etichette non dichiarano nemmeno l'appaiamento, perche' i bracci portano identificatori INCOMMENSURABILI (sesso da un lato, ""Donor 2, Replicate 1"" dall'altro) su 5 contro 2 campioni, e la presenza di un ""Donor 2"" dice che nello studio i donatori sono almeno due. L'etichetta non chiude, e la lettura che non sovrastima il dato non e' ""pulito"". RESPINTI i due rilievi del critico B. Il primo (GSE126750, ""IL1beta-treated cerebellar astrocytes"" vs ""DMSO-treated cerebellar astrocytes"") condannerebbe ogni controllo veicolo per definizione: il DMSO nominato solo sul controllo e' la forma NORMALE di questo tipo di controllo, ed e' la stessa forma di ""LNCaP + tazemetostat"" vs ""LNCaP + DMSO"" che nessuno contesta; che l'IL-1beta ricombinante non si veicoli in DMSO e' conoscenza biologica, non leggibile sull'etichetta, e resta un sospetto. Il secondo (GSE205851, due entry ""IL1Beta 4h"" vs ""Untreated"" identiche, 2 vs 4 in entrambe) e' un problema di indipendenza e di peso, non di appaiamento: i due confronti misurano lo stesso contrasto, che e' quello che la regola 1 chiede. Resta a verbale come sospetto.",19,15.3268674391503,0.0825940584516067,1875,81.0836202391316,"coherent","HGNC:5992","IL1B","k >= 15",1
"cgroup_L5_c0d1d837","difettosa",2,"False",0,0,"Due confronti hanno il controllo di un'altra linea/modello e si legge sull'etichetta. [GSE147876] `MR42F Enzalutamide` contro `MR42D Vehicle`: il controllo NOMINA MR42D, e gli stessi 3 controlli servono anche `MR42D Enzalutamide` (n=3 vs 3 in entrambi) — il pool di MR42D e' usato due volte, una delle quali per un'altra linea. [GSE184427] `LuCaP 147 Enzalutamide` contro `LuCaP 73 PBS Control`: due PDX diversi, con il numero scritto su tutti e due i bracci. Gli altri 24 confronti sono appaiati sullo stesso fondo (`LNCaP RB1/TP53 double knockout + Enzalutamide` → `... + vehicle`, `LNCaP sgTLE3 + enzalutamide` → `LNCaP sgTLE3 + vehicle`, `C4-2_enzalutamide` → `C4-2 + DMSO`, `R1AD1_ENZA` → `R1AD1_DMSO`, `VCaP p61 xenograft ... treated with Enzalutamide` → `... treated with Vehicle`), e nessuno degli studi multi-linea (GSE217537, GSE252576, GSE147250) condivide un pool di controllo fra bracci diversi: ognuno ha il proprio. Sospetti dichiarati e NON contati come difetti: [GSE234805] il trattato dichiara il tempo (`Enzalutamide 20uM 8hr`) e il controllo no (`Control`); [GSE252566] `DKO LnCap/AR + Control` non dice se e' veicolo o non trattato. Nessun rilievo dei critici tocca questo gruppo.",18,16.2371417811304,0.0741914634654999,3380,86.9002890400049,"coherent","CHEBI:68534","enzalutamide","k >= 15",2
"cgroup_L5_f94b6180","difettosa",1,"False",0,1,"Trentasette confronti su trentotto isolano R1881 contro il proprio veicolo appaiato nella stessa linea o nello stesso genotipo ('LNCaP_R1881' vs 'LNCaP_DMSO'; 'shMAP3K7_puro/shCHD1_neo + R1881' vs 'shMAP3K7_puro/shCHD1_neo + Vehicle'; 'R1881 24h' vs 'DMSO 24h'). Uno solo rompe l'appaiamento, e lo rompe due volte nella stessa etichetta: GSE172205 mette 'Prostate tissue treated with R1881 and atraric acid (AA)' contro 'C4-2 cells treated with DMSO' - secondo agente presente solo nel trattato E materiale diverso fra i bracci. Il difetto e' leggibile, quindi il gruppo e' difettoso per un confronto su trentotto. RESPINTO il rilievo del critico B sui controlli condivisi (GSE142556 'KYSE410_Vehicle' per 4h e 24h; GSE120660 'Untreated PC3 cells' per 6h e 12h; GSE225481 'LNCaP_DMSO_rep' per due dosi): nessuna di quelle etichette di controllo dichiara un tempo, quindi non e' leggibile un tempo non appaiato - l'esempio della regola 4 richiede che lo studio ABBIA il controllo al tempo giusto, e qui il controllo unico e' il disegno. Resta pero' registrato come limite dichiarato che gli stessi campioni di controllo entrano due volte nella stessa meta-analisi (correlazione non modellata, non difetto di appaiamento).",18,17.367390592403,0.0640157029767505,7956,94.9170164427679,"coherent","CHEBI:379896","R1881 (metribolone)","k >= 15",1
"cgroup_L5_021e875e","difettosa",1,"True",2,2,"25 confronti poolati; 24 sono appaiati sull'etichetta (""H358 Cisplatin""/""H358 Vehicle (DMSO)"", ""T24 + cisplatin""/""T24 + PBS"", ""A2780cis ... cisplatin""/""A2780cis ... vehicle control"" cioe' la linea resistente col PROPRIO controllo, ""HepG2 + Cisplatin + RTD Overexpression""/""HepG2 RTD Overexpression"" con la sovraespressione su entrambi i bracci, le quattro linee di GSE213102 ciascuna col proprio Control, ""CDDP 50uM 10h""/""Untreated 10h"" col tempo appaiato). ACCETTO il rilievo del critico B su GSE161800: l'etichetta attuale del controllo (""Untreated Control"") tace, ma il file stampa per lo STESSO studio, nell'altra esecuzione, quello stesso pool di controlli come ""Untreated arrested cells"" opposto a ""Cisplatin-treated proliferating cells"". Non e' silenzio: e' un'affermazione POSITIVA di uno stato cellulare opposto sull'altro braccio, ed e' lo stesso difetto che il lettore riconosce leggibile nella versione di riferimento. Scelgo la lettura che non sovrastima e dichiaro che l'etichetta CORRENTE da sola non lo direbbe. RESPINGO gli altri due rilievi del critico B: ""Cisplatin 0 days"" (GSE235549) non decide se sia un prelievo pre-trattamento o un campionamento a fine esposizione, resta sospetto; le due entry identiche di GSE215254 (""Cisplatin 3D 4h"" vs ""Vehicle 3D 4h"", 2 vs 2, stampate due volte) sono un problema di doppio conteggio e di peso, non di appaiamento: entrambe le entry misurano lo stesso contrasto, che e' proprio cio' che la regola 1 richiede. RESPINGO anche l'accusa del lettore a GSE241595, accogliendo il critico A: l'etichetta citata e' preceduta da ""era"", cioe' e' quella del riferimento; la collocazione nuova non e' verificabile da questo materiale. Sospetti dichiarati: doppia entry GSE215254; ""0 days"" GSE235549; ""A375 cells with normal culture"" come controllo (ammesso dal verso del gruppo).",16,14.0550456951095,0.0791522151569697,1027,97.3915525185736,"coherent","CHEBI:27899","cisplatin","k >= 15",1
