cluster_id,reason_en
cgroup_L5_79a73ac5,One of the seven pooled studies is clinical surveillance indexed by visit code rather than experimental infection.
cgroup_L5_3b91a21d,"The entity is a class: different primary tumours are pooled, and one comparison contrasts tumour stages rather than disease against normal tissue."
cgroup_L5_3973fe03,"Two of the four pooled studies administer IL-1 beta, one of them combined with IFN-gamma, rather than IL-1 alpha."
cgroup_L5_f51ff620,A single study contributes both nasal epithelium and peripheral blood to the same asthma-versus-normal comparison.
cgroup_L5_3668c2c2,"Two of four comparisons are mispaired: one treats absence of IL-10 as the treated arm, the other changes differentiation state together with treatment."
cgroup_L5_3be7454c,"One study measures R5020 combined with IFN-alpha against a double vehicle, while the others measure IFN-alpha alone."
cgroup_L5_545a48c6,"Patient tissue and immortalised cell lines are pooled, and one comparison uses the same tumour line as its own normal control."
cgroup_L5_5d97d5b1,"The entity is an umbrella class: a nephrotoxicant, a chemical exposure and CD8+ T-cell antigen stimulation are pooled under a single label."
cgroup_L5_855ca642,One comparison is referenced against a bortezomib vehicle instead of the vehicle used by its twin comparison in the same study.
cgroup_L5_a739837c,"Pituitary and colonic adenoma are pooled, and the anatomical site of a third study cannot be determined from its labels."
cgroup_L5_d631ee89,"In one of the three pooled studies the label denotes infective third-stage nematode larvae, not the interleukin."
