n,ckey,nome_reale,k,stato_precedente,verdetto,motivo
48,NCBITaxon:11320||gain||vehicle_untreated,influenza,10,letto,incoerente,"mescola sorveglianza clinica (GSE113210 visite AV/CV, GSE115770 Visit 2a/2b) e infezione sperimentale in cellule (PR8, H3N2, H1N1 vs mock). Stesso difetto per cui RSV fu giudicato incoerente il 2026-07-27"
67,NCBITaxon:11676||gain||vehicle_untreated,HIV-1,8,letto,incoerente,"clinico (GSE115449 pazienti HIV+ vs controlli sani per eta; GSE159759 tessuto adiposo di soggetti HIV+) mescolato con infezione sperimentale vs mock (GSE124118 HFF-1/MRC-5, GSE92262)"
79,STR:cytokine_stimulation||gain||vehicle_untreated,stimolazione citochinica generica,7,nuovo,incoerente,"l'entita e una CLASSE, non una molecola: EDN, TGF-beta, TNF-alpha e 'Cytokines' generico nello stesso gruppo. Citochine diverse hanno effetti diversi"
89,CHEBI:79091||block||vehicle_untreated,U0126 (inibitori MAPK),6,nuovo,incoerente,"inibitori DIVERSI sotto un'etichetta di classe: 'ERK1/2 inhibitor', 'MEK inhibitor', 'MAPK inhibitors', 'JNK Inhibitor'. Bersagli diversi della stessa via"
100,STR:2_gram||gain||vehicle_untreated,alcol 2 g/die,6,nuovo,incoerente,"la chiave e una DOSE, non un'entita. Inoltre in GSE182173 e GSE182440 il braccio trattato si chiama 'Control_2g'/'Control 2 gram/day': i due lati non sono distinguibili"
144,CHEBI:16411||gain||vehicle_untreated,acido indol-3-acetico (auxina),4,nuovo,incoerente,"l'auxina e l'INDUTTORE di un sistema degron (AID): il contrasto vero e la degradazione della proteina bersaglio, che e diversa in ogni studio. Stessa classe della doxiciclina, gia in blacklist"
152,CHEBI:233323||gain||vehicle_untreated,dTAGv-1,4,nuovo,incoerente,"come sopra: dTAGv-1 degrada la proteina taggata, diversa in ogni studio (GNB1L in GSE235200, altre altrove). L'entita comune e il reagente, non la biologia"
185,MeSH:D012008||gain||diagnosis,Recurrence,4,letto,incoerente,"gia noto (2026-07-27): un membro confronta 'Untreated' contro 'Diagnosis' (non una recidiva) e due appaiano pazienti diversi (Relapse 14A vs Diagnosis 22A)"
187,STR:adenoma||gain||vehicle_untreated,adenoma,4,letto,incoerente,"mescola adenoma IPOFISARIO (GSE208107, GSE222298) e adenoma del COLON (GSE72820, GSE77635): due malattie e due organi sotto una parola"
215,CHEBI:22676||gain||vehicle_untreated,auxina,3,nuovo,incoerente,"stesso difetto di [144]: induttore degron. In GSE145525 il bersaglio e AFF1/4-AID, in GSE176285 un altro"
262,HGNC:11998||gain||vehicle_untreated,TP53,3,nuovo,incoerente,"mescola direzioni opposte: mutanti puntiformi p.P278A/H/T, un doppio knockout TP53(-/-) e una SOVRAESPRESSIONE di TP53. Perdita e guadagno di funzione nella stessa meta-analisi"
263,HGNC:2434||gain||vehicle_untreated,CSF2 (GM-CSF),3,letto,incoerente,"gia noto (2026-07-27): due studi stimolano con GM-CSF contro mock, il terzo confronta macrofagi M1 (GM-CSF + IFN-gamma) contro M0. La polarizzazione non e la stimolazione"
270,HGNC:6011||gain||vehicle_untreated,IL3,3,nuovo,incoerente,"collisione di sigla: in GSE93620 'iL3' sono le larve infettive di stadio 3 del nematode A. ceylanicum, non l'interleuchina 3"
288,STR:affected||gain||unaffected,affetto vs non affetto,3,nuovo,incoerente,"la chiave e una parola generica: 'affected'/'unaffected' non identifica una malattia. Nulla garantisce che i tre studi riguardino la stessa condizione"
302,STR:ptsd||gain||vehicle_untreated,PTSD,3,letto,incoerente,"gia noto (2026-07-27): due studi sono caso-controllo (PTSD vs sano), il terzo confronta una perturbazione DENTRO i malati"
