"cluster_id","label_paper","priority","notes"
"cgroup_L5_930c8dcf","DHT (dihydrotestosterone) -- AR agonist",1,"main-fig1-agonist | entita=CHEBI:16330 | etichetta risolta dall'ID=DHT (5alpha-dihydrotestosterone) (fonte override) | canonical_name vecchio=4-maleylacetoacetate | verso=gain | controllo=vehicle_untreated | k_eff=23 | n_sig(FDR<0,05)=4875 | I2 mediano=85.0 | coerenza=coherent | studi censiti=34 -> poolati=23 | studi caduti nel pooling: GSE102183 GSE118152 GSE131726 GSE152246 GSE174589 GSE242735 GSE43785 GSE45202 GSE54946 GSE55903 GSE84432"
"cgroup_L5_c0d1d837","Enzalutamide -- AR antagonist",1,"main-fig1-antagonist | entita=CHEBI:68534 | etichetta risolta dall'ID=enzalutamide (fonte chebi) | canonical_name vecchio=enzalutamide | verso=gain | controllo=vehicle_untreated | k_eff=19 | n_sig(FDR<0,05)=3498 | I2 mediano=87.8 | coerenza=coherent | studi censiti=29 -> poolati=19 | studi caduti nel pooling: GSE110903 GSE137775 GSE138460 GSE146402 GSE189966 GSE202755 GSE217537 GSE248895 GSE250422 GSE97204"
"cgroup_L5_2e16719f","TGF-beta1",1,"main-fig2-candidate-high-k | entita=HGNC:11766 | etichetta risolta dall'ID=TGFB1 (fonte hgnc) | canonical_name vecchio=TGFB1 | verso=gain | controllo=vehicle_untreated | k_eff=49 | n_sig(FDR<0,05)=7233 | I2 mediano=94.2 | coerenza=coherent | studi censiti=65 -> poolati=49 | studi caduti nel pooling: GSE103293 GSE118816 GSE119946 GSE127903 GSE127964 GSE135402 GSE150042 GSE184356 GSE197132 GSE220972 GSE222402 GSE225982 GSE233083 GSE264038 GSE269066 GSE97829"
"cgroup_L5_c548d053","LPS (lipopolysaccharide)",1,"main-fig2-candidate-high-k | entita=CHEBI:16412 | etichetta risolta dall'ID=lipopolysaccharide (fonte chebi) | canonical_name vecchio=lipopolysaccharide | verso=gain | controllo=vehicle_untreated | k_eff=35 | n_sig(FDR<0,05)=6883 | I2 mediano=84.7 | coerenza=coherent | studi censiti=50 -> poolati=35 | studi caduti nel pooling: GSE101409 GSE110947 GSE111927 GSE122267 GSE139278 GSE149141 GSE163165 GSE166238 GSE168468 GSE185433 GSE235310 GSE251809 GSE46323 GSE50792 GSE85243"
"cgroup_L5_871ae09e","SARS-CoV-2 infection",2,"supp-pathogen | entita=NCBITaxon:2697049 | etichetta risolta dall'ID=SARS-CoV-2 (fonte override) | canonical_name vecchio=sars-cov2 | verso=gain | controllo=vehicle_untreated | k_eff=33 | n_sig(FDR<0,05)=1801 | I2 mediano=95.7 | coerenza=coherent | studi censiti=38 -> poolati=33 | studi caduti nel pooling: GSE155717 GSE165200 GSE167131 GSE174745 GSE206677"
"cgroup_L5_87c40ebb","IFN-gamma",2,"supp-cytokine | entita=HGNC:5438 | etichetta risolta dall'ID=IFNG (fonte hgnc) | canonical_name vecchio=IFNG | verso=gain | controllo=vehicle_untreated | k_eff=19 | n_sig(FDR<0,05)=3222 | I2 mediano=90.7 | coerenza=coherent | studi censiti=35 -> poolati=19 | studi caduti nel pooling: GSE129381 GSE130443 GSE144989 GSE150300 GSE152755 GSE161916 GSE164902 GSE174617 GSE189376 GSE198460 GSE203220 GSE221804 GSE234424 GSE237971 GSE246923 GSE84691"
"cgroup_L5_b71a25a2","JQ1 (BET bromodomain inhibitor)",2,"supp-small-molecule | entita=CHEBI:137113 | etichetta risolta dall'ID=JQ1 (fonte chebi) | canonical_name vecchio=<small>D</small>-cycloserine(1+) | verso=gain | controllo=vehicle_untreated | k_eff=24 | n_sig(FDR<0,05)=9501 | I2 mediano=95.8 | coerenza=coherent | studi censiti=41 -> poolati=24 | studi caduti nel pooling: GSE131967 GSE139230 GSE140003 GSE145028 GSE145469 GSE148395 GSE158552 GSE162205 GSE174617 GSE197426 GSE219191 GSE236168 GSE74230 GSE75364 GSE77737 GSE83724 GSE96779"
"cgroup_L5_85083e38","Parkinson disease vs normal",2,"supp-disease-candidate | entita=MeSH:D010300 | etichetta risolta dall'ID=Parkinson Disease (fonte mesh) | canonical_name vecchio=Parkinson Disease | verso=gain | controllo=vehicle_untreated | k_eff=10 | n_sig(FDR<0,05)=976 | I2 mediano=64.2 | coerenza=coherent | studi censiti=11 -> poolati=10 | studi caduti nel pooling: GSE84684"
"cgroup_L5_bd19fe42","Hepatocellular carcinoma vs normal",2,"supp-disease-candidate | entita=MeSH:D006528 | etichetta risolta dall'ID=Carcinoma, Hepatocellular (fonte mesh) | canonical_name vecchio=Carcinoma, Hepatocellular | verso=gain | controllo=vehicle_untreated | k_eff=9 | n_sig(FDR<0,05)=72 | I2 mediano=75.8 | coerenza=coherent | studi censiti=11 -> poolati=9 | studi caduti nel pooling: GSE185799 GSE202853"
"cgroup_L5_3973fe03","IL1A -- DECLARED INCOHERENT",3,"supp-incoherent | entita=HGNC:5991 | etichetta risolta dall'ID=IL1A (fonte hgnc) | canonical_name vecchio=Interleukin-1alpha | verso=gain | controllo=vehicle_untreated | k_eff=4 | n_sig(FDR<0,05)=947 | I2 mediano=63.0 | coerenza=incoherent (PEGGIORATO dal pooling: i due studi IL-1alfa veri (GSE120784, GSE142706) sono caduti e restano dentro entrambi gli IL-1beta (GSE155141; GSE205853, che e' per giunta IFN-gamma+IL-1beta). Sui 4 studi poolati, 2 misurano un'altra citochina) | studi censiti=6 -> poolati=4 | studi caduti nel pooling: GSE120784 GSE142706"
"cgroup_L5_3be7454c","IFNA1 -- DECLARED INCOHERENT",3,"supp-incoherent | entita=HGNC:5417 | etichetta risolta dall'ID=IFNA1 (fonte hgnc) | canonical_name vecchio=Interferon-alpha | verso=gain | controllo=vehicle_untreated | k_eff=3 | n_sig(FDR<0,05)=992 | I2 mediano=66.4 | coerenza=incoherent (RITRATTATO il 2026-07-30 (il verdetto precedente era stato dato su un'etichetta TRONCATA a 58 caratteri). Il testo intero di GSE126517 e' 'R5020 for 6 hours AND IFN-alpha for 18 hours' contro 'EtOH for 6 hours and water for 18 hours': l'interferone c'e' davvero, ma il confronto misura la COMBINAZIONE R5020+IFN-alfa contro doppio veicolo, mentre gli altri due studi poolati misurano IFN-alfa da solo. Resta incoerente per combinazione non catturata (categoria nota), NON perche' misuri un'altra entita'. Lo stesso studio compare correttamente nel gruppo STR:r5020 col braccio R5020 puro) | studi censiti=6 -> poolati=3 | studi caduti nel pooling: GSE124810 GSE221804 GSE234424"
