cluster_id,study_id,caso,motivo
cgroup_L5_2e16719f,GSE102674,C,"Solo la formulazione cambia: 'TGFβ1 Treated' contro 'Vehicle Control' ora, 'TGFβ1' contro '-vehicle' nel riferimento. Stesso contrasto."
cgroup_L5_2e16719f,GSE119606,C,"Le due coppie sono appaiate nel tempo (2h con 2h, 48h con 48h) in entrambi i run; cambia solo 'Vehicle control' contro 'Vehicle'."
cgroup_L5_2e16719f,GSE122305,C,SPOSTATO. Ora 'TGFB' contro 'Control (PBS-0.1%BSA)'; nel riferimento gli stessi campioni figuravano come 'IL-17A' e 'TNF' contro lo stesso controllo. Sono tre bracci plausibili di uno studio multi-citochina e l'etichetta non dice se siano gli stessi campioni letti in modo diverso.
cgroup_L5_2e16719f,GSE128940,C,"'TGFB1-treated' contro 'Untreated hepatic stellate cells' ora, 'TGFB1 stimulated' contro lo stesso controllo nel riferimento: cambia il verbo."
cgroup_L5_2e16719f,GSE134395,B,Il riferimento appaiava 'TGFb1 (Disease Model)' con 'Untreated (Case)' — bracci non appaiati sul modello. Ora sono 'TGFb1 (disease model)' contro 'Untreated (disease model)': il nuovo run corregge un disallineamento leggibile.
cgroup_L5_2e16719f,GSE145746,C,Stesse due stratificazioni appaiate per donatore diabetico/non diabetico in entrambi i run; cambia solo 'No Treatment' contro 'Untreated'.
cgroup_L5_2e16719f,GSE148767,C,"Stessi tre confronti appaiati per linea (M010817, M921); nel riferimento due portavano il marcatore '(duplicate)'. Nulla nell'etichetta permette di preferire una lettura."
cgroup_L5_2e16719f,GSE155832,C,Stessi quattro confronti co-coltura/monocoltura con partner appaiato; il controllo passa da 'control' a 'vehicle control'.
cgroup_L5_2e16719f,GSE163241,C,"Contraddizione non risolvibile: il braccio 72h e' letto 'passage 13' nel riferimento e 'passage 12' ora. Il nuovo run aggiunge un confronto pulito (passage 12 contro passage 12) ma ne tiene uno difettoso; il riferimento ne aveva uno solo, difettoso. L'etichetta non dice quale lettura del passaggio sia fedele alla sorgente."
cgroup_L5_2e16719f,GSE174490,C,"'Normal human cardiac fibroblasts treated with TGFBeta' contro 'Untreated normal human cardiac fibroblasts' ora, 'TGFBeta' contro 'Untreated' nel riferimento: stesso contrasto, il nuovo e' solo piu' esplicito."
cgroup_L5_2e16719f,GSE178714,C,"Entrambi i run appaiano wild-type con wild-type e KO con KO. Il riferimento dichiarava il tempo su entrambi i lati del braccio KO (1h contro 1h), ora il controllo KO non dichiara il tempo: meno verificabile, non contraddetto."
cgroup_L5_2e16719f,GSE179347,C,"Le coppie HMCL-7304 e SGBS sono identiche nei due run; il nuovo run non porta piu' 'HepG2 TGF-B1' contro 'HepG2 CONTROL (EMPTY EMEM MEDIUM)', che era pulito. L'etichetta non dice perche' sia caduto."
cgroup_L5_2e16719f,GSE191279,C,"In entrambi i run lo stesso confronto compare DUE volte con etichette identiche (n=8 vs 11 in tutte e due le righe); cambia solo la formulazione del controllo. La duplicazione e' pre-esistente, non introdotta dal nuovo run."
cgroup_L5_2e16719f,GSE197132,B,"ENTRATO. 'TGF-β1' contro 'control': confronto pulito e sull'entita' del gruppo, che il riferimento non poolava in nessuna meta-analisi."
cgroup_L5_2e16719f,GSE199225,C,"CORREGGO IL LETTORE (rilievo del critico A accolto): non e' un caso A. Il confronto pulito del riferimento ('PCOS, tgfb' contro 'PCOS, no treatment') e' ancora qui intatto come 'PCOS TGFB iHP10' contro 'PCOS no treatment iHP10' (5 vs 5); il nuovo run ne aggiunge uno pulito ('CTRL noEPS TGFB LC2' contro 'CTRL noEPS LC2', marcatore su entrambi i bracci) E uno difettoso (EPS solo nel trattato). Il bilancio e' +1 pulito e +1 difettoso: nessuna delle due assegnazioni domina l'altra e l'etichetta non decide. Il difetto EPS resta contato nel gruppo."
cgroup_L5_2e16719f,GSE202714,C,"Stessi due confronti appaiati per eta' del tessuto (Adult con Adult, Fetal con Fetal); l'etichetta si accorcia soltanto."
cgroup_L5_2e16719f,GSE204868,C,"'TGF-beta' contro 'control' ora, 'TGF-beta (triplicate)' contro 'Control (triplicate)' nel riferimento: stesso contrasto."
cgroup_L5_2e16719f,GSE210984,B,Il riferimento aveva TRE confronti tutti con materiale disallineato (iPSC-derived contro Primary). Ora ne resta uno disallineato ma se ne aggiunge uno correttamente appaiato ('MSC Primary Culture TGF-β 14 days' contro 'MSC Primary Culture Vehicle Only'). Il nuovo run migliora senza chiudere il difetto.
cgroup_L5_2e16719f,GSE220038,C,"Entrambi i run appaiano 'TGFB1 wild type' con 'DMSO wild type'; il riferimento ne portava due (uno con '(1 hour)'), il nuovo uno. L'etichetta non dice quale insieme sia quello giusto."
